UserID,Month,Income,Food,Travel,Shopping,Bills,Entertainment,Healthcare,Education,Others,PreviousExpense,NextMonthExpense
1,1,44592,7104,2003,2828,6143,1419,2733,856,2918,18409,26004
1,2,44592,5964,1122,1767,6791,1952,2569,2965,608,26004,23738
1,3,44592,6461,3932,6323,10745,3232,2218,1402,2339,23738,36652
1,4,44592,6561,4315,1053,11216,1653,2231,1893,1638,36652,30560
1,5,44592,5013,4920,3757,5837,1379,2056,896,1970,30560,25828
1,6,44592,7482,3472,3166,11611,1177,2381,2696,1011,25828,32996
1,7,44592,7930,2550,1645,9522,2200,1981,2864,1287,32996,29979
1,8,44592,6972,1187,6417,6866,2185,826,1453,913,29979,26819
1,9,44592,5815,2857,6207,11833,2494,1166,2016,1955,26819,34343
1,10,44592,5206,2093,6749,10599,3654,792,2995,1200,34343,33288
1,11,44592,6364,2002,2338,8786,2554,1605,3121,2781,33288,29551
1,12,44592,5242,2328,1458,6876,1131,1792,2143,1596,29551,22566
1,13,44592,4695,4740,5646,10881,2288,1370,3184,2544,22566,35348
1,14,44592,5870,4745,6266,8758,1585,1584,1071,1510,35348,31389
1,15,44592,7116,3207,3152,11119,3394,2254,2890,2135,31389,35267
1,16,44592,5750,1566,5174,9042,1372,692,949,1126,35267,25671
1,17,44592,6697,4244,6574,8458,3442,760,2076,2063,25671,34314
1,18,44592,6584,2917,5334,7059,3266,547,3286,969,34314,29962
1,19,44592,6891,3199,3185,11296,3625,1893,956,1702,29962,32747
1,20,44592,6010,2858,1026,10915,3947,1578,2550,1231,32747,30115
1,21,44592,6270,1435,6122,7444,3617,2579,2994,1314,30115,31775
1,22,44592,5004,4123,2323,9418,3172,502,2953,1827,31775,29322
1,23,44592,6202,1458,3973,11813,2259,1480,737,1486,29322,29408
1,24,44592,7591,4878,1645,5701,3997,2490,3842,783,29408,30927
2,1,99822,11007,2946,5503,6352,2085,2661,2984,2233,20060,35771
2,2,99822,17683,4804,5417,11187,3989,1323,3420,1776,35771,49599
2,3,99822,13168,3751,6323,8059,2794,2619,2349,995,49599,40058
2,4,99822,11961,1262,3769,5172,3409,2768,1442,2910,40058,32693
2,5,99822,11740,1290,6798,10169,1241,1437,776,628,32693,34079
2,6,99822,16847,1290,5211,6949,2140,2488,1377,2708,34079,39010
2,7,99822,11038,4831,5677,9720,2936,1495,3713,2437,39010,41847
2,8,99822,16430,1779,1772,5794,3699,2265,1951,2234,41847,35924
2,9,99822,13265,4538,6972,5443,3758,903,748,2149,35924,37776
2,10,99822,15797,4279,1895,7036,1784,1279,2696,2337,37776,37103
2,11,99822,11101,1751,3281,8789,2023,808,2315,2754,37103,32822
2,12,99822,10764,3671,5428,11848,1060,882,3586,1468,32822,38707
2,13,99822,11310,2989,4943,6751,2642,740,1174,2052,38707,32601
2,14,99822,9999,2599,3172,11423,2863,1668,2232,2776,32601,36732
2,15,99822,15267,2993,2268,6555,2215,1391,739,2872,36732,34300
2,16,99822,15857,1249,3569,5468,1205,2892,2452,2559,34300,35251
2,17,99822,17324,3175,2289,5465,3080,828,3987,1261,35251,37409
2,18,99822,10529,1278,6531,6926,2653,991,2833,1508,37409,33249
2,19,99822,14605,1162,6073,5671,2717,2890,2815,2641,33249,38574
2,20,99822,12508,2068,2673,10486,3933,1786,1477,1587,38574,36518
2,21,99822,13142,3751,6287,7457,2872,1795,3579,797,36518,39680
2,22,99822,10056,3544,5612,5819,1300,2702,1373,2572,39680,32978
2,23,99822,12100,4822,3859,5563,2000,2013,1667,1146,32978,33170
2,24,99822,13481,3225,6763,7478,3505,2666,532,2771,33170,40421
3,1,69240,7497,4596,2100,7166,1472,938,3540,2766,28868,30075
3,2,69240,7785,2154,5954,6725,3939,1904,1333,1581,30075,31375
3,3,69240,9723,2028,1416,5756,3598,2234,3897,1633,31375,30285
3,4,69240,7168,2366,2071,10219,2072,1161,3536,2309,30285,30902
3,5,69240,9979,2751,5594,5079,1458,808,3330,1110,30902,30109
